noise,poly_name,degree,q,epsilon,n_samples,seed,target,emp_naive_mean,emp_naive_var,emp_naive_mse,emp_naive_bias,sym_naive_mean,sym_naive_var,sym_naive_mse,sym_naive_bias,err_naive_var_rel,err_naive_mse_rel,emp_unbiased_mean,emp_unbiased_var,emp_unbiased_mse,emp_unbiased_bias,sym_unbiased_mean,sym_unbiased_var,sym_unbiased_mse,sym_unbiased_bias,err_unbiased_var_rel,err_unbiased_mse_rel,emp_var_ratio_unbiased_over_naive,emp_mse_ratio_unbiased_over_naive,sym_var_ratio_unbiased_over_naive,sym_mse_ratio_unbiased_over_naive
laplace,degree_8,8,1.0,0.2,20000,1337,2.0,14633562380.293388,5.0473495363016205e+23,5.0494909477804155e+23,14633562378.293388,16043145751.999992,3.254201508128073e+24,3.2544588906536286e+24,16043145749.999992,0.8448974495373206,0.8448439166866762,-149839111.0585123,1.2750162652839373e+23,1.2750164898015354e+23,-149839113.0585123,2.0,1.9693816022107963e+24,1.969381602210796e+24,0.0,0.9352580391807954,0.9352580277803844,0.252611049841852,0.252503965842733,0.605181208751775,0.6051333473182277
laplace,degree_8,8,1.0,0.5,20000,1337,2.0,10460192.638805823,1.991352349758195e+17,1.9924465056401968e+17,10460190.638805823,11536634.0,1.5396426532186936e+18,1.539775747096597e+18,11536632.0,0.8706613936944926,0.8706015139284303,-293449.3193549306,4.513231273651384e+16,4.513239885019066e+16,-293451.3193549306,2.0,9.318108047543455e+17,9.318108047543455e+17,0.0,0.9515649394638517,0.9515648470484425,0.2266415219887839,0.22651749355593906,0.6052123866576132,0.6051600738038438
laplace,degree_8,8,1.0,1.0,20000,1337,2.0,54332.971953240776,3975916315929.6978,3978868170443.0825,54330.971953240776,60104.0,31751160789852.0,31754773040256.0,60102.0,0.8747788673855211,0.8747001540398663,-2576.7864597722964,914100406490.6346,914107056630.2397,-2578.7864597722964,2.0,19219633535484.0,19219633535484.0,0.0,0.9524392385108182,0.9524388925032009,0.22990936776718562,0.2297404732885246,0.6053206578081011,0.6052517998197935
laplace,degree_8,8,1.0,2.0,20000,1337,2.0,480.38949934169517,205856550.66355914,206085407.17663956,478.38949934169517,524.0,1124978440.5,1125250924.5,522.0,0.8170128926452442,0.8168538210548792,-22.613508467783994,61678643.01446181,61679248.83926089,-24.613508467783994,2.0,681406499.25,681406499.25,0.0,0.9094833361842758,0.9094824471044096,0.299619530277985,0.29928974440385525,0.6057062737550303,0.6055595995646746
laplace,degree_8,8,3.0,0.2,20000,1337,5338.0,16888184653.023918,4.7640047312302e+23,4.766856837235965e+23,16888179315.023918,18644457487.999992,3.7818046774907536e+24,3.7821522930867276e+24,18644452149.999992,0.8740282712223219,0.8739644396142073,-557119216.642097,1.065708623472079e+23,1.0657117273497732e+23,-557124554.642097,5338.0,2.2887064773032857e+24,2.2887064773032857e+24,0.0,0.9534362036355237,0.9534360680184089,0.22370016059931222,0.22356696744593657,0.6051889699448608,0.6051333473500624
laplace,degree_8,8,3.0,0.5,20000,1337,5338.0,21935441.777089205,4.958829099033833e+17,4.9636383935505734e+17,21930103.777089205,24067154.0,3.2116412997036867e+18,3.212220270692905e+18,24061816.0,0.8455982895882133,0.845476400269404,-1118650.407624683,1.3421435451735248e+17,1.3421561786729298e+17,-1123988.407624683,5338.0,1.943907611244893e+18,1.943907611244893e+18,0.0,0.9309564128763298,0.9309557629740746,0.2706573504287585,0.27039765435307284,0.6052692159065965,0.6051601221063132
laplace,degree_8,8,3.0,1.0,20000,1337,5338.0,368799.60814532544,59039487372702.8,59171591713298.38,363461.60814532544,391616.0,207027205262876.0,207176415956160.0,386278.0,0.7148225649970181,0.7143903110775914,-8175.216258651051,22044243189850.008,22044425796863.66,-13513.216258651051,5338.0,125396333824700.0,125396333824700.0,0.0,0.8242034474415565,0.824201991202701,0.3733813447716735,0.37255083323893984,0.6056997855208259,0.6052635539907919
laplace,degree_8,8,3.0,2.0,20000,1337,5338.0,24907.79994585535,34542357783.07151,34925334852.99232,19569.79994585535,25484.0,59679315120.5,60085176436.5,20146.0,0.42120049948083066,0.4187362520287751,4977.239209598007,17529152345.48227,17529282493.830162,-360.7607904019933,5338.0,36500386195.25,36500386195.25,0.0,0.5197543321400957,0.5197507664696615,0.5074683220979472,0.5019073565826756,0.6116086640999676,0.6074773905977428
laplace,degree_10,10,0.0,0.2,20000,1337,0.0,29683751437562.133,5.220329501511467e+30,5.221210626610873e+30,29683751437562.133,35390249999999.98,2.3187185351159656e+32,2.318731059813916e+32,35390249999999.98,0.9774861440815179,0.9774824656593427,-2756358966941.1655,3.8627827484649176e+29,3.862858723612464e+29,-2756358966941.1655,0.0,1.3819128375660285e+32,1.3819128375660285e+32,0.0,0.9972047565928481,0.9972047016145995,0.07399499873229282,0.07398396655221463,0.5959812787268357,0.595978059515419
laplace,degree_10,10,0.0,0.5,20000,1337,0.0,3088724327.2075915,5.679941253476526e+22,5.680895275273476e+22,3088724327.2075915,3684925440.0,2.541011355097682e+24,2.54102493377318e+24,3684925440.0,0.9776469269132478,0.9776432918867982,-289080692.2362146,4.165344240286357e+21,4.1654278079329835e+21,-289080692.2362146,0.0,1.5144330708434087e+24,1.5144330708434087e+24,0.0,0.9972495686204431,0.9972495134396312,0.07333428383148984,0.07332343945968026,0.5959961838837161,0.5959929990118671
laplace,degree_10,10,0.0,1.0,20000,1337,0.0,2933182.8024776457,5.215307718381132e+16,5.216168074516406e+16,2933182.8024776457,3507840.0,2.3946637661243167e+18,2.3946760710657823e+18,3507840.0,0.9782211273575918,0.978217646480282,-282496.5294284196,3700326824408564.5,3700406628697703.0,-282496.5294284196,0.0,1.4273411381618698e+18,1.4273411381618698e+18,0.0,0.9974075385866242,0.997407482675471,0.07095126547119969,0.070941092691703,0.5960507518230728,0.5960476890415549
laplace,degree_10,10,0.0,2.0,20000,1337,0.0,2539.8422244108488,42400906057.236534,42407356855.76145,2539.8422244108488,3071.25,2176521344300.1875,2176530776876.75,3071.25,0.9805189569271743,0.9805160775550279,-276.5505672716546,2587959257.2235756,2588035737.4398336,-276.5505672716546,0.0,1297840050831.125,1297840050831.125,0.0,0.9980059489953587,0.9980058900665127,0.06103547065079498,0.06102798970099509,0.5962909825028235,0.5962883983168309
laplace,degree_10,10,1.0,0.2,20000,1337,1.0,29266996183363.81,4.08461035161963e+30,4.0854669086852267e+30,29266996183362.81,36100417649050.98,2.365247437257224e+32,2.3652604696587675e+32,36100417649049.98,0.9827307270804775,0.9827272008259004,-3661594682827.0566,2.3355190893366414e+29,2.3356531620928544e+29,-3661594682828.0566,1.0,1.409643344934925e+32,1.4096433449349246e+32,0.0,0.9983431843964442,0.9983430892853251,0.05717850390332975,0.057169797584886266,0.5959813433175382,0.5959780595066096
laplace,degree_10,10,1.0,0.5,20000,1337,1.0,3238726375.171398,3.6779623525548458e+22,3.679011287407521e+22,3238726374.171398,4155221609.0,2.865308516689415e+24,2.865325782556027e+24,4155221608.0,0.9871638173302036,0.9871602338910109,-528830179.14018005,1.401483829391677e+21,1.4017634907511034e+21,-528830180.14018005,1.0,1.7077141005044973e+24,1.7077141005044973e+24,0.0,0.9991793217442091,0.999179157980638,0.03810489871975322,0.038101636044147076,0.595996588345605,0.5959929969921686
laplace,degree_10,10,1.0,1.0,20000,1337,1.0,4122507.138575229,4.669642746998534e+16,4.671342252684793e+16,4122506.138575229,5413163.0,3.6951550289805435e+18,3.695184331303382e+18,5413162.0,0.9873627961198509,0.9873582970865297,-770883.9828857756,2029311497280202.8,2029905760937041.5,-770884.9828857756,1.0,2.20250568377864e+18,2.2025056837786401e+18,0.0,0.999078635069037,0.9990783652564953,0.04345753213315014,0.04345444309438855,0.5960523080911951,0.5960475814752555
laplace,degree_10,10,1.0,2.0,20000,1337,1.0,9195.166075919922,202514429649.31204,202598962339.14362,9194.166075919922,11582.75,8188946542586.1875,8189080679519.25,11581.75,0.9752697824321912,0.9752598649020714,-1406.3197560919675,19955939848.36412,19957920397.260002,-1407.3197560919675,1.0,4883016644955.125,4883016644955.125,0.0,0.9959131943838484,0.9959127887843923,0.09854082932718031,0.09850948971718393,0.5962936281927416,0.5962838609182916
